Date Bug Found,Bug or Obstacle,Date Resolved,Notes about Bug / Obstacle,Notes about Resolution,"Notes about technology, including AI tools"
2026-01-31,Frontend-backend API base mismatch,2026-02-01,"Initial integration failed because frontend target URL/port did not match active backend service.","Standardized API base configuration and validated requests against running backend endpoints.","Tech: Axios + Vite env config. AI tools: setup/debug checklist generation."
2026-02-04,JWT token not consistently attached to protected requests,2026-02-05,"Login succeeded but protected routes/API calls intermittently failed authorization in early wiring.","Centralized auth-header utility and routed protected calls through shared API client methods.","Tech: DRF SimpleJWT + React route guards. AI tools: auth flow tracing and fix validation prompts."
2026-02-10,CORS blocked auth/program requests,2026-02-10,"Cross-origin requests were rejected for one local origin variant during frontend-backend integration.","Corrected allowed origins configuration and re-tested end-to-end login plus programs flow.","Tech: Django CORS settings. AI tools: CORS troubleshooting checklist."
2026-02-17,Coach form payload did not match backend program serializer,2026-02-18,"UI initially used local-only weekly structure while backend required normalized TrainingProgram fields.","Refactored submit payload to backend contract and added assignment-compatible fields.","Tech: DRF serializers + React form state mapping. AI tools: payload contract alignment support."
2026-02-21,Athlete logbook data was not persistently queryable,2026-02-22,"Workout entries were local-state/localStorage oriented, limiting history retrieval and multi-session continuity.","Implemented backend workout-log and PR create/list APIs and wired dashboard history views to API data.","Tech: Django models/serializers/views + React async fetch flows. AI tools: refactor sequencing and regression checklist."
2026-02-23,Test smoke flow failed with DisallowedHost and scope-pressure risk before MVP lock,2026-02-23,"Automated test-client run hit host validation issue; parallel risk identified that stretch features could reduce MVP completion reliability.","Resolved test context host handling, re-ran smoke suite successfully, and enforced MVP-first scope gate for sprint execution.","Tech: Django ALLOWED_HOSTS test behavior + sprint control practices. AI tools: error interpretation, mitigation options, and priority matrix."
2026-03-09,Local self-host script startup failed when dependencies/env were incomplete,2026-03-10,"First run of local host scripts failed on machines missing one-time setup steps, which blocked quick demo startup.","Updated setup/run docs and script expectations, then validated the local host path end to end (frontend preview plus backend runtime).","Tech: bash scripts, Gunicorn, Vite preview, env alignment. AI tools: script troubleshooting checklist."
2026-03-11,Presentation flowcharts rendered Mermaid syntax error,2026-03-11,"Initial diagram labels and class naming patterns triggered parser errors in Mermaid 10.9.x, so some charts showed syntax error cards.","Hardened all chart syntax with safer labels and class names, then revalidated each chart render in browser.","Tech: Mermaid flowchart syntax constraints and HTML report integration. AI tools: syntax debugging and iterative patching."
2026-03-11,Header logo did not appear in first presentation pass,2026-03-11,"Logo file path was not correctly wired at first, causing a missing image in the branded header.","Inserted direct relative path to Westminster logo asset and confirmed header branding renders in the report.","Tech: static asset pathing in local HTML context. AI tools: path validation support."
2026-03-11,Workflow diagrams appeared off-center in report cards,2026-03-11,"Several Mermaid diagrams rendered left-biased inside containers, which looked inconsistent in presentation mode.","Applied global Mermaid SVG centering and removed redundant per-chart alignment hacks.","Tech: CSS centering for rendered Mermaid SVG elements. AI tools: targeted style-fix suggestions."
2026-03-11,TOC links were incomplete after section expansion,2026-03-11,"New sections were added quickly and not all were reachable from quick navigation, slowing live walkthroughs.","Added missing anchor IDs and expanded TOC entries to cover all major sections including Part II.","Tech: in-page anchor mapping and navigation consistency pass. AI tools: section map generation and link integrity checks."
2026-03-11,Backend API flows required a post-debug regression confidence check,2026-03-11,"After multiple backend/API debug iterations, there was risk that auth/program/athlete endpoints had hidden regressions before demos.","Ran ./bin/zw uat and confirmed full flow pass (19/19 checks): register/login, /auth/me, coach programs create/update, athlete completion, workout logs, PRs, and Sinclair endpoint.","Tech: Django REST endpoints + scripted UAT harness (frontend preview + backend API checks). AI tools: Codex-assisted validation checklist and transcript review."
2026-03-11,Backend API hardening gaps were not yet captured in the bug/fix tracker,2026-03-11,"Post-debug review surfaced production hardening risks (token handling exposure, missing auth throttling, and no refresh retry path) that were known but not formally logged.","Documented the risk set and converted it into prioritized improvement actions for next implementation pass so fixes can be tracked explicitly.","Tech: auth/session architecture + DRF security controls. AI tools: Codex codebase risk review synthesis."